,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
0,Margate,GB,51.38,1.39,47.66,70,3,7.0
1,Butaritari,KI,3.07,172.79,83.55,80,99,16.55
2,Villa de Reyes,MX,21.8,-100.93,73.4,23,20,5.82
3,Sturgeon Bay,US,44.83,-87.38,45.41,93,90,9.06
4,Jamestown,US,42.1,-79.24,40.21,64,1,10.29
5,Punta Arenas,CL,-53.15,-70.92,41.0,80,75,10.29
6,New Norfolk,AU,-42.78,147.06,53.83,73,89,1.66
7,College,US,64.86,-147.8,41.09,86,90,2.1
8,Klaksvík,FO,62.23,-6.59,42.8,87,0,8.05
9,Yellowknife,CA,62.46,-114.35,29.8,74,75,18.34
10,Cabo San Lucas,MX,22.89,-109.91,65.52,85,0,11.01
11,Dudinka,RU,69.41,86.18,37.4,74,100,40.26
12,Provideniya,RU,64.38,-173.3,22.5,95,100,14.41
13,Khatanga,RU,71.97,102.5,27.57,96,0,6.02
14,Tabou,CI,4.42,-7.35,78.62,87,100,6.24
15,Nara,JP,34.69,135.8,65.5,55,75,2.24
16,Narsaq,GL,60.92,-46.05,26.6,73,100,2.24
17,Albany,US,42.6,-73.97,28.96,89,0,5.35
18,Bambanglipuro,ID,-7.95,110.28,86.31,66,89,6.33
19,Ancud,CL,-41.87,-73.82,50.0,81,40,8.05
20,Port Blair,IN,11.67,92.75,84.69,75,14,9.62
21,Katsuura,JP,35.13,140.3,66.96,55,0,11.99
22,Cape Town,ZA,-33.93,18.42,60.76,93,90,5.82
23,Rikitea,PF,-23.12,-134.97,77.68,70,80,9.48
24,Kalinovskaya,RU,43.58,45.52,59.0,62,88,4.47
25,Berlevåg,NO,70.86,29.09,38.43,91,100,6.6
26,Saint Paul Harbor,US,57.79,-152.41,44.6,75,90,4.7
27,Mataura,NZ,-46.19,168.86,48.99,77,57,5.99
28,Nantucket,US,41.28,-70.1,38.57,80,1,10.29
29,Hong Kong,HK,22.29,114.16,77.79,86,29,7.0
30,Marabu,MY,4.41,114.01,89.31,75,75,6.93
31,Lebu,CL,-37.62,-73.65,53.1,90,90,2.62
32,Terney,RU,45.05,136.61,47.53,56,24,4.81
33,Mahébourg,MU,-20.41,57.7,81.84,58,20,11.41
34,Tuktoyaktuk,CA,69.45,-133.04,-0.4,84,75,10.29
35,Puerto Escondido,MX,15.85,-97.07,79.95,76,28,3.94
36,Busselton,AU,-33.65,115.33,66.97,33,25,17.52
37,Thompson,CA,55.74,-97.86,-7.6,69,5,3.96
38,Zhenlai,CN,45.85,123.3,69.26,21,100,22.93
39,Hamilton,US,39.18,-84.53,41.58,80,1,6.93
40,Leningradskiy,RU,69.38,178.42,4.48,89,20,7.56
41,Bredasdorp,ZA,-34.53,20.04,60.8,59,93,3.36
42,Arona,ES,28.1,-16.68,52.74,72,20,5.82
43,Gouré,NE,13.98,10.27,78.4,14,35,7.99
44,Faanui,PF,-16.48,-151.75,83.21,74,80,11.77
45,Avarua,CK,-21.21,-159.78,78.8,78,47,9.17
46,Mehamn,NO,71.04,27.85,38.05,90,98,13.76
47,Upernavik,GL,72.79,-56.15,20.17,93,98,14.92
48,Aliaga,PH,15.52,120.87,95.0,50,75,4.7
49,Tiksi,RU,71.69,128.87,17.6,89,70,4.76
50,Vaini,TO,-21.2,-175.2,78.8,78,40,10.29
51,Hobart,AU,-42.88,147.33,54.19,66,75,9.17
52,Tuatapere,NZ,-46.13,167.68,48.99,77,67,5.99
53,Lüderitz,NA,-26.65,15.16,59.0,87,8,3.36
54,Puerto Ayora,EC,-0.74,-90.35,79.0,89,13,7.0
55,Sitka,US,57.05,-135.33,44.04,93,20,11.41
56,Vanimo,PG,-2.67,141.3,86.41,67,15,6.58
57,Aiken,US,33.58,-81.6,51.01,76,1,4.7
58,Melbu,NO,68.5,14.83,42.01,89,100,4.16
59,Rocha,UY,-34.48,-54.33,57.78,92,0,7.65
60,Lumut,MY,4.23,100.63,91.17,70,40,3.36
61,Faranah,GN,10.04,-10.74,74.43,73,99,4.74
62,Ushuaia,AR,-54.8,-68.3,44.6,75,40,16.11
63,Shaunavon,CA,49.65,-108.42,31.42,61,90,4.34
64,Fallon,US,39.47,-118.78,52.25,43,40,6.93
65,Mildura,AU,-34.2,142.15,68.0,42,58,8.05
66,Kaitangata,NZ,-46.28,169.85,51.35,60,64,3.0
67,Bethel,US,41.37,-73.41,30.45,92,1,6.91
68,Qaanaaq,GL,77.48,-69.36,14.74,84,100,18.52
69,Marsá Maţrūḩ,EG,31.35,27.25,55.4,82,0,5.61
70,Patea,NZ,-39.76,174.48,57.31,84,100,13.98
71,Bambous Virieux,MU,-20.34,57.76,81.73,58,20,11.41
72,Ubrique,ES,36.68,-5.45,54.54,93,100,4.7
73,Lingyuan,CN,41.24,119.4,64.0,27,94,13.49
74,Amga,RU,60.9,131.96,22.35,83,63,7.85
75,Kondinskoye,RU,59.65,67.41,47.62,55,63,13.4
76,Atuona,PF,-9.8,-139.03,82.45,75,68,16.37
77,George Town,MY,5.41,100.34,91.0,70,20,8.05
78,Raudeberg,NO,61.99,5.14,45.07,75,4,3.36
79,Sinnamary,GF,5.38,-52.95,79.18,85,92,9.86
80,Severo-Kuril'sk,RU,50.68,156.12,31.59,93,71,18.95
81,Tebingtinggi,ID,3.33,99.16,87.8,74,75,5.82
82,Saint George,US,37.1,-113.58,55.67,54,1,4.7
83,East London,ZA,-33.02,27.91,69.8,64,0,11.41
84,Venado Tuerto,AR,-33.75,-61.97,55.0,83,0,10.94
85,Awjilah,LY,29.11,21.29,67.21,35,10,3.2
86,São Filipe,CV,14.9,-24.5,70.83,71,6,15.46
87,Hermanus,ZA,-34.42,19.23,66.99,53,93,10.33
88,North Adams,US,42.7,-73.11,27.48,68,1,5.82
89,Iqaluit,CA,63.75,-68.51,-9.2,76,5,6.93
90,Kiryat Gat,IL,31.61,34.76,67.3,13,4,5.01
91,Comodoro Rivadavia,AR,-45.87,-67.5,57.2,50,8,27.51
92,Eravur,LK,7.77,81.61,90.0,58,29,9.28
93,Natal,BR,-5.79,-35.21,77.0,100,75,4.7
94,Hithadhoo,MV,-0.6,73.08,84.49,74,63,11.72
95,Baruun-Urt,MN,46.68,113.28,42.84,37,93,19.35
96,Antalaha,MG,-14.9,50.28,81.07,70,65,14.81
97,Carnarvon,AU,-24.87,113.63,80.6,61,20,17.22
98,Chokurdakh,RU,70.63,147.92,8.62,93,100,12.53
99,Sosnogorsk,RU,63.6,53.88,37.36,85,100,1.59
100,Paciran,ID,-6.88,112.38,89.26,62,64,1.72
101,Guiratinga,BR,-16.35,-53.76,68.23,84,99,2.06
102,Kapaa,US,22.08,-159.32,72.95,69,75,9.17
103,Verkhnevilyuysk,RU,63.45,120.32,22.84,87,97,7.16
104,Chui,UY,-33.7,-53.46,63.01,90,0,9.64
105,Dhidhdhoo,MV,6.88,73.1,85.89,71,7,10.67
106,Wuwei,CN,37.93,102.64,65.48,15,66,17.29
107,Fortuna,US,40.6,-124.16,49.93,100,90,4.7
108,Norman Wells,CA,65.28,-126.83,32.0,96,90,9.17
109,Beringovskiy,RU,63.05,179.32,20.52,97,100,16.69
110,Edson,CA,53.58,-116.44,28.4,74,1,5.82
111,Barrow,US,71.29,-156.79,3.2,84,90,6.93
112,Qinhuangdao,CN,39.93,119.59,59.45,49,87,12.55
113,Kysyl-Syr,RU,63.9,122.76,19.99,87,14,7.47
114,Winnemucca,US,40.97,-117.74,53.6,30,75,12.75
115,Husavik,IS,66.04,-17.34,35.6,93,90,11.41
116,Laguna,US,38.42,-121.42,53.58,71,1,8.05
117,Saldanha,ZA,-33.01,17.94,57.2,93,96,11.41
118,Lodwar,KE,3.12,35.6,77.97,62,100,19.04
119,Visnes,NO,59.36,5.22,42.15,86,0,2.24
120,Akşehir,TR,38.36,31.42,58.98,30,0,1.41
121,High Level,CA,58.52,-117.14,39.2,55,20,4.7
122,Alice Springs,AU,-23.7,133.88,95.0,16,41,4.7
123,Port Augusta,AU,-32.5,137.77,72.84,29,90,18.34
124,Kavaratti,IN,10.57,72.64,89.6,66,20,5.82
125,Villa Carlos Paz,AR,-31.42,-64.5,61.66,71,0,8.05
126,Tasiilaq,GL,65.61,-37.64,30.2,92,99,19.46
127,Hilo,US,19.73,-155.09,70.38,69,75,3.36
128,Dromolaxia,CY,34.88,33.59,72.57,29,20,3.36
129,Tucumcari,US,35.17,-103.72,57.22,22,1,9.17
130,Canala,NC,-21.53,165.95,82.4,58,22,8.05
131,Bay-Khaak,RU,51.17,94.5,52.07,27,0,3.09
132,Mayo,US,38.89,-76.51,38.19,69,1,4.94
133,Cherskiy,RU,68.75,161.3,8.28,93,7,13.47
134,Lalawigan,PH,11.59,125.47,84.94,71,41,9.93
135,Te Anau,NZ,-45.42,167.72,45.55,68,46,9.04
136,Kruisfontein,ZA,-34.0,24.73,70.2,32,29,9.4
137,Banjar,ID,-8.19,114.97,89.6,70,40,8.05
138,Kavieng,PG,-2.57,150.8,84.13,70,84,4.18
139,North Bend,US,43.41,-124.22,47.52,87,75,4.7
140,Thunder Bay,CA,48.4,-89.32,30.2,74,90,3.36
141,Tromsø,NO,69.65,18.96,40.75,86,90,36.91
142,Bluff,NZ,-46.6,168.33,48.99,77,100,5.99
143,Esperance,AU,-33.87,121.9,71.6,53,75,21.92
144,Adrar,MR,20.5,-10.07,68.77,27,0,17.9
145,Rio Grande,BR,-32.03,-52.1,57.99,96,0,11.54
146,Glenluce,GB,54.88,-4.81,45.0,88,27,3.0
147,Caravelas,BR,-17.71,-39.25,75.47,80,87,14.09
148,Saint Anthony,US,45.02,-93.22,45.63,56,1,6.93
149,Kefamenanu,ID,-9.45,124.48,83.97,55,16,8.77
150,Novikovo,RU,51.15,37.89,43.29,60,48,6.04
151,Dikson,RU,73.51,80.55,35.6,92,100,20.58
152,Karratha,AU,-20.74,116.85,92.75,36,42,12.93
153,Haines Junction,CA,60.75,-137.51,42.82,51,0,1.14
154,Mahibadhoo,MV,3.78,72.97,84.97,77,55,12.28
155,Daloa,CI,6.88,-6.45,72.43,91,70,3.58
156,Puruarán,MX,19.1,-101.53,61.0,72,23,1.01
157,Magistral'nyy,RU,56.17,107.45,29.05,77,99,13.89
158,Vila Velha,BR,-20.33,-40.29,73.71,78,76,8.05
159,Port Alfred,ZA,-33.59,26.89,66.0,80,0,10.0
160,Upington,ZA,-28.45,21.26,73.4,53,20,17.22
161,Stykkisholmur,IS,65.08,-22.73,34.99,91,99,6.58
162,Diego de Almagro,CL,-26.37,-70.05,56.84,49,0,0.29
163,São José da Coroa Grande,BR,-8.9,-35.15,78.89,80,89,1.83
164,Fairbanks,US,64.84,-147.72,40.98,93,90,4.7
165,Sola,VU,-13.88,167.55,83.3,77,80,10.78
166,Zdvinsk,RU,54.7,78.66,55.15,61,94,9.6
167,Isangel,VU,-19.55,169.27,77.0,88,75,5.82
168,Marawi,PH,8.0,124.29,76.68,65,98,3.22
169,Port Elizabeth,ZA,-33.92,25.57,60.8,93,0,3.36
170,Udachny,RU,66.42,112.4,24.8,35,0,6.71
171,Mayumba,GA,-3.43,10.66,78.96,86,86,3.47
172,Saint-Philippe,RE,-21.36,55.77,77.02,65,20,23.04
